Array Size, Binary Search, Linear Search
2,1.5599999999999973e-06,9.299999999999983e-07
4,2.0899999999999974e-06,9.799999999999982e-07
8,1.999999999999997e-06,1.229999999999998e-06
10,2.049999999999997e-06,1.349999999999998e-06
25,2.6399999999999976e-06,2.2199999999999965e-06
50,3.419999999999999e-06,3.5000000000000004e-06
75,3.1199999999999994e-06,2.0309999999999997e-05
100,3.1299999999999997e-06,4.96e-06
225,6.059999999999992e-06,1.0900000000000007e-05
350,4.079999999999999e-06,1.8539999999999995e-05
500,4.069999999999997e-06,2.34e-05
1000,9.589999999999996e-06,0.00010854000000000003
10000,6.840000000000002e-06,0.0004048199999999999
100000,1.735999999999999e-05,0.004895239999999999
